username,repo_name,stars,repo_url
fastapi,fastapi,81400,https://github.com/fastapi/fastapi
prettier,prettier,50000,https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,48700,https://github.com/chinese-poetry/chinese-poetry
nlohmann,json,44600,https://github.com/nlohmann/json
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
AykutSarac,jsoncrack.com,37100,https://github.com/AykutSarac/jsoncrack.com
SheetJS,sheetjs,35400,https://github.com/SheetJS/sheetjs
httpie,cli,34900,https://github.com/httpie/cli
fastapi,full-stack-fastapi-template,30600,https://github.com/fastapi/full-stack-fastapi-template
codex-team,editor.js,29600,https://github.com/codex-team/editor.js
chinabugotech,hutool,29600,https://github.com/chinabugotech/hutool
alibaba,fastjson,25800,https://github.com/alibaba/fastjson
redisson,redisson,23600,https://github.com/redisson/redisson
urfave,cli,22800,https://github.com/urfave/cli
SwiftyJSON,SwiftyJSON,22800,https://github.com/SwiftyJSON/SwiftyJSON
typicode,lowdb,21800,https://github.com/typicode/lowdb
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
simdjson,simdjson,19800,https://github.com/simdjson/simdjson
antonmedv,fx,19300,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,19000,https://github.com/modood/Administrative-divisions-of-China
