username,repo_name,stars,repo_url
CyC2018,CS-Notes,179000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,148000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,90900,https://github.com/iluwatar/java-design-patterns
macrozheng,mall,79200,https://github.com/macrozheng/mall
doocs,advanced-java,77100,https://github.com/doocs/advanced-java
spring-projects,spring-boot,76300,https://github.com/spring-projects/spring-boot
elastic,elasticsearch,71800,https://github.com/elastic/elasticsearch
kdn251,interviews,64000,https://github.com/kdn251/interviews
TheAlgorithms,Java,60900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,55100,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54200,https://github.com/youngyangyang04/leetcode-master
Stirling-Tools,Stirling-PDF,52600,https://github.com/Stirling-Tools/Stirling-PDF
google,guava,50600,https://github.com/google/guava
ReactiveX,RxJava,48000,https://github.com/ReactiveX/RxJava
square,okhttp,46200,https://github.com/square/okhttp
square,retrofit,43300,https://github.com/square/retrofit
skylot,jadx,43000,https://github.com/skylot/jadx
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
jeecgboot,JeecgBoot,41700,https://github.com/jeecgboot/JeecgBoot
apache,dubbo,40800,https://github.com/apache/dubbo
