username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,411000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,233000,https://github.com/facebook/react
practical-tutorials,project-based-learning,219000,https://github.com/practical-tutorials/project-based-learning
vuejs,vue,208000,https://github.com/vuejs/vue
trekhleb,javascript-algorithms,190000,https://github.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,181000,https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,172000,https://github.com/twbs/bootstrap
airbnb,javascript,146000,https://github.com/airbnb/javascript
Chalarangelo,30-seconds-of-code,123000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,116000,https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,110000,https://github.com/nodejs/node
axios,axios,106000,https://github.com/axios/axios
mrdoob,three.js,105000,https://github.com/mrdoob/three.js
microsoft,TypeScript,102000,https://github.com/microsoft/TypeScript
denoland,deno,102000,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,102000,https://github.com/goldbergyoni/nodebestpractices
angular,angular,97100,https://github.com/angular/angular
ryanmcdermott,clean-code-javascript,92500,https://github.com/ryanmcdermott/clean-code-javascript
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
