username,repo_name,stars,repo_url
jekyll,jekyll,49700,https://github.com/jekyll/jekyll
tabler,tabler,38800,https://github.com/tabler/tabler
academicpages,academicpages.github.io,13400,https://github.com/academicpages/academicpages.github.io
mmistakes,minimal-mistakes,12700,https://github.com/mmistakes/minimal-mistakes
alshedivat,al-folio,12300,https://github.com/alshedivat/al-folio
primer,octicons,8400,https://github.com/primer/octicons
cotes2020,jekyll-theme-chirpy,8200,https://github.com/cotes2020/jekyll-theme-chirpy
just-the-docs,just-the-docs,7900,https://github.com/just-the-docs/just-the-docs
home-assistant,home-assistant.io,6100,https://github.com/home-assistant/home-assistant.io
daattali,beautiful-jekyll,5500,https://github.com/daattali/beautiful-jekyll
mqtt,mqtt.org,5100,https://github.com/mqtt/mqtt.org
github,choosealicense.com,3800,https://github.com/github/choosealicense.com
poole,hyde,3700,https://github.com/poole/hyde
jekyll,minima,3600,https://github.com/jekyll/minima
fastai,fastpages,3500,https://github.com/fastai/fastpages
poole,lanyon,3300,https://github.com/poole/lanyon
sharu725,online-cv,3300,https://github.com/sharu725/online-cv
kitian616,jekyll-TeXt-theme,3200,https://github.com/kitian616/jekyll-TeXt-theme
jekyll,jekyll-admin,2900,https://github.com/jekyll/jekyll-admin
poole,poole,2800,https://github.com/poole/poole
