username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,44000,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27200,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,25300,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,23300,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,21500,https://github.com/MLEveryday/100-Days-Of-ML-Code
recommenders-team,recommenders,19800,https://github.com/recommenders-team/recommenders
plotly,plotly.py,16800,https://github.com/plotly/plotly.py
emilwallner,Screenshot-to-code,16500,https://github.com/emilwallner/Screenshot-to-code
ydataai,ydata-profiling,12700,https://github.com/ydataai/ydata-profiling
chenyuntc,pytorch-book,12300,https://github.com/chenyuntc/pytorch-book
jupyter,notebook,12100,https://github.com/jupyter/notebook
marceloprates,prettymaps,11500,https://github.com/marceloprates/prettymaps
AkashSingh3031,The-Complete-FAANG-Preparation,11000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
aws,amazon-sagemaker-examples,10300,https://github.com/aws/amazon-sagemaker-examples
dunovank,jupyter-themes,9800,https://github.com/dunovank/jupyter-themes
microsoft,computervision-recipes,9600,https://github.com/microsoft/computervision-recipes
jupyter,docker-stacks,8100,https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,7900,https://github.com/jupyterhub/jupyterhub
AccumulateMore,CV,7600,https://github.com/AccumulateMore/CV
firmai,industry-machine-learning,7300,https://github.com/firmai/industry-machine-learning
