username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
JetBrains,kotlin,50100,https://github.com/JetBrains/kotlin
square,okhttp,46200,https://github.com/square/okhttp
square,leakcanary,29600,https://github.com/square/leakcanary
gkd-kit,gkd,24700,https://github.com/gkd-kit/gkd
NativeScript,NativeScript,24600,https://github.com/NativeScript/NativeScript
google,iosched,21800,https://github.com/google/iosched
yuliskov,SmartTube,21600,https://github.com/yuliskov/SmartTube
tipsy,profile-summary-for-github,19900,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19700,https://github.com/afollestad/material-dialogs
android,nowinandroid,18000,https://github.com/android/nowinandroid
Tencent,MMKV,17700,https://github.com/Tencent/MMKV
gradle,gradle,17300,https://github.com/gradle/gradle
JetBrains,compose-multiplatform,16800,https://github.com/JetBrains/compose-multiplatform
Kotlin,anko,15900,https://github.com/Kotlin/anko
mamoe,mirai,14700,https://github.com/mamoe/mirai
sqlc-dev,sqlc,14400,https://github.com/sqlc-dev/sqlc
ktorio,ktor,13400,https://github.com/ktorio/ktor
JunkFood02,Seal,13300,https://github.com/JunkFood02/Seal
Kotlin,kotlinx.coroutines,13200,https://github.com/Kotlin/kotlinx.coroutines
