username,repo_name,stars,repo_url
kubernetes,kubernetes,113000,https://github.com/kubernetes/kubernetes
netdata,netdata,73600,https://github.com/netdata/netdata
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
traefik,traefik,53400,https://github.com/traefik/traefik
minio,minio,50400,https://github.com/minio/minio
etcd-io,etcd,48500,https://github.com/etcd-io/etcd
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
Kong,kong,40200,https://github.com/Kong/kong
istio,istio,36500,https://github.com/istio/istio
GitHubDaily,GitHubDaily,36300,https://github.com/GitHubDaily/GitHubDaily
ToolJet,ToolJet,34800,https://github.com/ToolJet/ToolJet
portainer,portainer,32100,https://github.com/portainer/portainer
alibaba,nacos,30900,https://github.com/alibaba/nacos
mudler,LocalAI,30700,https://github.com/mudler/LocalAI
dokku,dokku,30000,https://github.com/dokku/dokku
kubernetes,minikube,30000,https://github.com/kubernetes/minikube
k3s-io,k3s,28900,https://github.com/k3s-io/k3s
derailed,k9s,28700,https://github.com/derailed/k9s
hashicorp,consul,28700,https://github.com/hashicorp/consul
MichaelCade,90DaysOfDevOps,27700,https://github.com/MichaelCade/90DaysOfDevOps
