username,repo_name,stars,repo_url
marktext,marktext,48700,https://github.com/marktext/marktext
posquit0,Awesome-CV,23900,https://github.com/posquit0/Awesome-CV
HarisIqbal88,PlotNeuralNet,22800,https://github.com/HarisIqbal88/PlotNeuralNet
KaTeX,KaTeX,18800,https://github.com/KaTeX/KaTeX
Byaidu,PDFMathTranslate,17800,https://github.com/Byaidu/PDFMathTranslate
lukas-blecher,LaTeX-OCR,13600,https://github.com/lukas-blecher/LaTeX-OCR
hmemcpy,milewski-ctfp-pdf,11200,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,10400,https://github.com/mathjax/MathJax
billryan,resume,9600,https://github.com/billryan/resume
garrettj403,SciencePlots,7500,https://github.com/garrettj403/SciencePlots
Wandmalfarbe,pandoc-latex-template,6400,https://github.com/Wandmalfarbe/pandoc-latex-template
google-research,arxiv-latex-cleaner,5900,https://github.com/google-research/arxiv-latex-cleaner
lervag,vimtex,5700,https://github.com/lervag/vimtex
sb2nov,resume,5600,https://github.com/sb2nov/resume
retorquere,zotero-better-bibtex,5600,https://github.com/retorquere/zotero-better-bibtex
dyweb,awesome-resume-for-chinese,5100,https://github.com/dyweb/awesome-resume-for-chinese
Keldos-Li,typora-latex-theme,5000,https://github.com/Keldos-Li/typora-latex-theme
tuna,thuthesis,4700,https://github.com/tuna/thuthesis
Hufe921,canvas-editor,4000,https://github.com/Hufe921/canvas-editor
rstudio,bookdown,3800,https://github.com/rstudio/bookdown
