username,repo_name,stars,repo_url
laravel,laravel,80100,https://github.com/laravel/laravel
laravel,framework,33200,https://github.com/laravel/framework
monicahq,monica,22300,https://github.com/monicahq/monica
filamentphp,filament,21700,https://github.com/filamentphp/filament
barryvdh,laravel-debugbar,18000,https://github.com/barryvdh/laravel-debugbar
bagisto,bagisto,17100,https://github.com/bagisto/bagisto
koel,koel,16300,https://github.com/koel/koel
BookStackApp,BookStack,16100,https://github.com/BookStackApp/BookStack
flarum,flarum,15600,https://github.com/flarum/flarum
barryvdh,laravel-ide-helper,14400,https://github.com/barryvdh/laravel-ide-helper
cachethq,cachet,14300,https://github.com/cachethq/cachet
krayin,laravel-crm,13200,https://github.com/krayin/laravel-crm
roots,sage,12900,https://github.com/roots/sage
chiraggude,awesome-laravel,12700,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,12400,https://github.com/SpartnerNL/Laravel-Excel
spatie,laravel-permission,12400,https://github.com/spatie/laravel-permission
thedevdojo,voyager,11800,https://github.com/thedevdojo/voyager
alexeymezenin,laravel-best-practices,11700,https://github.com/alexeymezenin/laravel-best-practices
tymondesigns,jwt-auth,11400,https://github.com/tymondesigns/jwt-auth
octobercms,october,11100,https://github.com/octobercms/october
