username,repo_name,stars,repo_url
facebook,react,233000,https://github.com/facebook/react
ocornut,imgui,63500,https://github.com/ocornut/imgui
curl,curl,37000,https://github.com/curl/curl
ccxt,ccxt,34800,https://github.com/ccxt/ccxt
acheong08,ChatGPT,28100,https://github.com/acheong08/ChatGPT
heroui-inc,heroui,23200,https://github.com/heroui-inc/heroui
mojs,mojs,18600,https://github.com/mojs/mojs
framework7io,framework7,18300,https://github.com/framework7io/framework7
hypermodeinc,badger,14300,https://github.com/hypermodeinc/badger
OpenGenus,cosmos,13600,https://github.com/OpenGenus/cosmos
webview,webview,12900,https://github.com/webview/webview
barbajs,barba,12200,https://github.com/barbajs/barba
felangel,bloc,12000,https://github.com/felangel/bloc
FreeRDP,FreeRDP,11400,https://github.com/FreeRDP/FreeRDP
Ramotion,animated-tab-bar,11100,https://github.com/Ramotion/animated-tab-bar
wolfpld,tracy,10800,https://github.com/wolfpld/tracy
apache,thrift,10600,https://github.com/apache/thrift
WenchaoD,FSCalendar,10600,https://github.com/WenchaoD/FSCalendar
LonamiWebs,Telethon,10500,https://github.com/LonamiWebs/Telethon
cdnjs,cdnjs,10400,https://github.com/cdnjs/cdnjs
