username,repo_name,stars,repo_url
trimstray,the-book-of-secret-knowledge,159000,https://github.com/trimstray/the-book-of-secret-knowledge
jlevy,the-art-of-command-line,155000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,110000,https://github.com/nodejs/node
rustdesk,rustdesk,83100,https://github.com/rustdesk/rustdesk
netdata,netdata,73600,https://github.com/netdata/netdata
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
ventoy,Ventoy,65200,https://github.com/ventoy/Ventoy
sherlock-project,sherlock,62700,https://github.com/sherlock-project/sherlock
atom,atom,60300,https://github.com/atom/atom
alacritty,alacritty,57800,https://github.com/alacritty/alacritty
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
lencx,ChatGPT,53600,https://github.com/lencx/ChatGPT
FiloSottile,mkcert,52400,https://github.com/FiloSottile/mkcert
Z4nzu,hackingtool,51700,https://github.com/Z4nzu/hackingtool
marktext,marktext,48700,https://github.com/marktext/marktext
clash-verge-rev,clash-verge-rev,48600,https://github.com/clash-verge-rev/clash-verge-rev
agalwood,Motrix,46800,https://github.com/agalwood/Motrix
PowerShell,PowerShell,46600,https://github.com/PowerShell/PowerShell
vercel,hyper,43700,https://github.com/vercel/hyper
GitSquared,edex-ui,41700,https://github.com/GitSquared/edex-ui
