username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,24300,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,14400,https://github.com/formatjs/formatjs
Huanshere,VideoLingo,11500,https://github.com/Huanshere/VideoLingo
SwiftGen,SwiftGen,9400,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,8800,https://github.com/Humanizr/Humanizer
Laravel-Lang,lang,7600,https://github.com/Laravel-Lang/lang
cartographer-project,cartographer,7300,https://github.com/cartographer-project/cartographer
lingui,js-lingui,4900,https://github.com/lingui/js-lingui
WeblateOrg,weblate,4900,https://github.com/WeblateOrg/weblate
github,relative-time-element,3700,https://github.com/github/relative-time-element
hybridsjs,hybrids,3100,https://github.com/hybridsjs/hybrids
jeremykenedy,laravel-auth,3000,https://github.com/jeremykenedy/laravel-auth
introlab,rtabmap,3000,https://github.com/introlab/rtabmap
aralroca,next-translate,2700,https://github.com/aralroca/next-translate
symfony,intl,2600,https://github.com/symfony/intl
tolgee,tolgee-platform,2500,https://github.com/tolgee/tolgee-platform
ivanhofer,typesafe-i18n,2300,https://github.com/ivanhofer/typesafe-i18n
ever-co,ever-traduora,2000,https://github.com/ever-co/ever-traduora
onlytailei,CppRobotics,2000,https://github.com/onlytailei/CppRobotics
MIT-SPARK,Kimera-VIO,1600,https://github.com/MIT-SPARK/Kimera-VIO
