username,repo_name,stars,repo_url
neovim,neovim,86700,https://github.com/neovim/neovim
coolsnowwolf,lede,30400,https://github.com/coolsnowwolf/lede
NvChad,NvChad,25600,https://github.com/NvChad/NvChad
LunarVim,LunarVim,18700,https://github.com/LunarVim/LunarVim
cocos2d,cocos2d-x,18400,https://github.com/cocos2d/cocos2d-x
lionsoul2014,ip2region,17500,https://github.com/lionsoul2014/ip2region
nvim-telescope,telescope.nvim,16900,https://github.com/nvim-telescope/telescope.nvim
spotify,annoy,13500,https://github.com/spotify/annoy
AstroNvim,AstroNvim,13100,https://github.com/AstroNvim/AstroNvim
Hammerspoon,hammerspoon,12600,https://github.com/Hammerspoon/hammerspoon
luanti-org,luanti,11200,https://github.com/luanti-org/luanti
codota,TabNine,10700,https://github.com/codota/TabNine
nmap,nmap,10700,https://github.com/nmap/nmap
xmake-io,xmake,10700,https://github.com/xmake-io/xmake
Tencent,xLua,9500,https://github.com/Tencent/xLua
lk-geimfari,awesomo,9500,https://github.com/lk-geimfari/awesomo
williamboman,mason.nvim,8500,https://github.com/williamboman/mason.nvim
wbthomason,packer.nvim,8000,https://github.com/wbthomason/packer.nvim
nodemcu,nodemcu-firmware,7700,https://github.com/nodemcu/nodemcu-firmware
nvim-tree,nvim-tree.lua,7500,https://github.com/nvim-tree/nvim-tree.lua
