username,repo_name,stars,repo_url
zhanwen,MathModel,8500,https://github.com/zhanwen/MathModel
PRML,PRMLT,6100,https://github.com/PRML/PRMLT
flybywiresim,aircraft,5200,https://github.com/flybywiresim/aircraft
ZheC,Realtime_Multi-Person_Pose_Estimation,5100,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
ZachL1,Bilibili-plus,4000,https://github.com/ZachL1/Bilibili-plus
Chakazul,Lenia,3600,https://github.com/Chakazul/Lenia
personqianduixue,Math_Model,3400,https://github.com/personqianduixue/Math_Model
HuangCongQing,Algorithms_MathModels,2200,https://github.com/HuangCongQing/Algorithms_MathModels
kaxap,arl,2000,https://github.com/kaxap/arl
casadi,casadi,1800,https://github.com/casadi/casadi
BIMK,PlatEMO,1700,https://github.com/BIMK/PlatEMO
matlab2tikz,matlab2tikz,1600,https://github.com/matlab2tikz/matlab2tikz
JSBSim-Team,jsbsim,1500,https://github.com/JSBSim-Team/jsbsim
mathworks,MATLAB-Simulink-Challenge-Project-Hub,1400,https://github.com/mathworks/MATLAB-Simulink-Challenge-Project-Hub
analyticalmonk,awesome-neuroscience,1400,https://github.com/analyticalmonk/awesome-neuroscience
petercorke,robotics-toolbox-matlab,1300,https://github.com/petercorke/robotics-toolbox-matlab
pptacher,probabilistic_robotics,1300,https://github.com/pptacher/probabilistic_robotics
DrTimothyAldenDavis,SuiteSparse,1200,https://github.com/DrTimothyAldenDavis/SuiteSparse
scottclowe,matlab-schemer,1200,https://github.com/scottclowe/matlab-schemer
bytefish,facerec,941,https://github.com/bytefish/facerec
