username,repo_name,stars,repo_url
tensorflow,tensorflow,188000,https://github.com/tensorflow/tensorflow
huggingface,transformers,140000,https://github.com/huggingface/transformers
pytorch,pytorch,87300,https://github.com/pytorch/pytorch
netdata,netdata,73600,https://github.com/netdata/netdata
microsoft,ML-For-Beginners,71200,https://github.com/microsoft/ML-For-Beginners
Developer-Y,cs-video-courses,68200,https://github.com/Developer-Y/cs-video-courses
d2l-ai,d2l-zh,66200,https://github.com/d2l-ai/d2l-zh
tesseract-ocr,tesseract,64900,https://github.com/tesseract-ocr/tesseract
keras-team,keras,62600,https://github.com/keras-team/keras
scikit-learn,scikit-learn,61300,https://github.com/scikit-learn/scikit-learn
binhnguyennus,awesome-scalability,60700,https://github.com/binhnguyennus/awesome-scalability
labmlai,annotated_deep_learning_paper_implementations,58800,https://github.com/labmlai/annotated_deep_learning_paper_implementations
ageitgey,face_recognition,54200,https://github.com/ageitgey/face_recognition
deepfakes,faceswap,53400,https://github.com/deepfakes/faceswap
ultralytics,yolov5,52600,https://github.com/ultralytics/yolov5
mlabonne,llm-course,47200,https://github.com/mlabonne/llm-course
Avik-Jain,100-Days-Of-ML-Code,46500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
JuliaLang,julia,46500,https://github.com/JuliaLang/julia
aymericdamien,TensorFlow-Examples,43500,https://github.com/aymericdamien/TensorFlow-Examples
apache,airflow,39000,https://github.com/apache/airflow
