username,repo_name,stars,repo_url
Textualize,rich,50900,https://github.com/Textualize/rich
prettier,prettier,50000,https://github.com/prettier/prettier
jekyll,jekyll,49700,https://github.com/jekyll/jekyll
marktext,marktext,48700,https://github.com/marktext/marktext
toeverything,AFFiNE,46100,https://github.com/toeverything/AFFiNE
microsoft,markitdown,39200,https://github.com/microsoft/markitdown
usememos,memos,37400,https://github.com/usememos/memos
GitHubDaily,GitHubDaily,36300,https://github.com/GitHubDaily/GitHubDaily
jgm,pandoc,36100,https://github.com/jgm/pandoc
logseq,logseq,35100,https://github.com/logseq/logseq
slidevjs,slidev,35100,https://github.com/slidevjs/slidev
markedjs,marked,34000,https://github.com/markedjs/marked
siyuan-note,siyuan,32299,https://github.com/siyuan-note/siyuan
docsifyjs,docsify,28800,https://github.com/docsifyjs/docsify
GitbookIO,gitbook,27600,https://github.com/GitbookIO/gitbook
mendableai,firecrawl,27400,https://github.com/mendableai/firecrawl
requarks,wiki,25700,https://github.com/requarks/wiki
DS4SD,docling,23000,https://github.com/DS4SD/docling
notable,notable,22800,https://github.com/notable/notable
rahuldkjain,github-profile-readme-generator,22400,https://github.com/rahuldkjain/github-profile-readme-generator
