username,repo_name,stars,repo_url
mastodon,mastodon,47800,https://github.com/mastodon/mastodon
Dimillian,IceCubesApp,5900,https://github.com/Dimillian/IceCubesApp
elk-zone,elk,5700,https://github.com/elk-zone/elk
superseriousbusiness,gotosocial,4000,https://github.com/superseriousbusiness/gotosocial
TwidereProject,Twidere-Android,2700,https://github.com/TwidereProject/Twidere-Android
tuskyapp,Tusky,2500,https://github.com/tuskyapp/Tusky
mastodon,mastodon-ios,2100,https://github.com/mastodon/mastodon-ios
wabarc,wayback,1900,https://github.com/wabarc/wayback
mastodon,mastodon-android,1800,https://github.com/mastodon/mastodon-android
mastodon,documentation,1700,https://github.com/mastodon/documentation
ihabunek,toot,1200,https://github.com/ihabunek/toot
cheeaun,phanpy,1200,https://github.com/cheeaun/phanpy
nolanlawson,pinafore,1000,https://github.com/nolanlawson/pinafore
nathanlesage,academics-on-mastodon,938,https://github.com/nathanlesage/academics-on-mastodon
joyeusenoelle,GuideToMastodon,930,https://github.com/joyeusenoelle/GuideToMastodon
h3poteto,whalebird-desktop,916,https://github.com/h3poteto/whalebird-desktop
halcy,Mastodon.py,907,https://github.com/halcy/Mastodon.py
tleb,awesome-mastodon,898,https://github.com/tleb/awesome-mastodon
rustodon,rustodon,878,https://github.com/rustodon/rustodon
kennbroorg,iKy,856,https://github.com/kennbroorg/iKy
