username,repo_name,stars,repo_url
flutter,flutter,169000,https://github.com/flutter/flutter
mui,material-ui,94900,https://github.com/mui/material-ui
Solido,awesome-flutter,54900,https://github.com/Solido/awesome-flutter
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
google,material-design-icons,51200,https://github.com/google/material-design-icons
vuetifyjs,vuetify,40300,https://github.com/vuetifyjs/vuetify
Dogfalo,materialize,38900,https://github.com/Dogfalo/materialize
google,material-design-lite,32299,https://github.com/google/material-design-lite
quasarframework,quasar,26300,https://github.com/quasarframework/quasar
angular,components,24600,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,24300,https://github.com/mdbootstrap/mdb-ui-kit
squidfunk,mkdocs-material,22300,https://github.com/squidfunk/mkdocs-material
HeroTransitions,Hero,22200,https://github.com/HeroTransitions/Hero
iampawan,FlutterExampleApps,20900,https://github.com/iampawan/FlutterExampleApps
afollestad,material-dialogs,19700,https://github.com/afollestad/material-dialogs
framework7io,framework7,18300,https://github.com/framework7io/framework7
material-components,material-components-web,17100,https://github.com/material-components/material-components-web
material-components,material-components-android,16600,https://github.com/material-components/material-components-android
angular,material,16500,https://github.com/angular/material
MaterialDesignInXAML,MaterialDesignInXamlToolkit,15400,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
