username,repo_name,stars,repo_url
GoogleContainerTools,jib,13800,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,7700,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,5000,https://github.com/zhanglei-workspace/shopping-management-system
rubenlagus,TelegramBots,5000,https://github.com/rubenlagus/TelegramBots
RubyMetric,chsrc,4900,https://github.com/RubyMetric/chsrc
diffplug,spotless,4700,https://github.com/diffplug/spotless
apache,maven,4500,https://github.com/apache/maven
ZHENFENG13,My-Blog,3700,https://github.com/ZHENFENG13/My-Blog
java-aodeng,hope-boot,3300,https://github.com/java-aodeng/hope-boot
Kotlin,kotlin-examples,3200,https://github.com/Kotlin/kotlin-examples
apache,maven-mvnd,3000,https://github.com/apache/maven-mvnd
spotify,dockerfile-maven,2800,https://github.com/spotify/dockerfile-maven
bytedeco,javacpp-presets,2700,https://github.com/bytedeco/javacpp-presets
spotify,docker-maven-plugin,2700,https://github.com/spotify/docker-maven-plugin
bonigarcia,webdrivermanager,2600,https://github.com/bonigarcia/webdrivermanager
jitpack,jitpack.io,2600,https://github.com/jitpack/jitpack.io
vector4wang,spring-boot-quick,2500,https://github.com/vector4wang/spring-boot-quick
sanluan,PublicCMS,2000,https://github.com/sanluan/PublicCMS
fabric8io,docker-maven-plugin,1900,https://github.com/fabric8io/docker-maven-plugin
ZHENFENG13,ssm-demo,1800,https://github.com/ZHENFENG13/ssm-demo
