username,repo_name,stars,repo_url
PaperMC,Paper,10600,https://github.com/PaperMC/Paper
fogleman,Craft,10600,https://github.com/fogleman/Craft
IdreesInc,Monocraft,8700,https://github.com/IdreesInc/Monocraft
dnschneid,crouton,8600,https://github.com/dnschneid/crouton
cabaletta,baritone,7500,https://github.com/cabaletta/baritone
PojavLauncherTeam,PojavLauncher,7400,https://github.com/PojavLauncherTeam/PojavLauncher
HMCL-dev,HMCL,7300,https://github.com/HMCL-dev/HMCL
MinecraftForge,MinecraftForge,7100,https://github.com/MinecraftForge/MinecraftForge
louis-e,arnis,6400,https://github.com/louis-e/arnis
PrismLauncher,PrismLauncher,6400,https://github.com/PrismLauncher/PrismLauncher
nuno-faria,tiler,6000,https://github.com/nuno-faria/tiler
MineDojo,Voyager,5900,https://github.com/MineDojo/Voyager
PrismarineJS,mineflayer,5400,https://github.com/PrismarineJS/mineflayer
cuberite,cuberite,5100,https://github.com/cuberite/cuberite
CaffeineMC,sodium,5000,https://github.com/CaffeineMC/sodium
GeyserMC,Geyser,4900,https://github.com/GeyserMC/Geyser
MultiMC,Launcher,4400,https://github.com/MultiMC/Launcher
Pumpkin-MC,Pumpkin,4100,https://github.com/Pumpkin-MC/Pumpkin
PaperMC,Folia,3700,https://github.com/PaperMC/Folia
JannisX11,blockbench,3700,https://github.com/JannisX11/blockbench
