username,repo_name,stars,repo_url
monero-project,monero,9300,https://github.com/monero-project/monero
xmrig,xmrig,9100,https://github.com/xmrig/xmrig
yjjnls,awesome-blockchain,3400,https://github.com/yjjnls/awesome-blockchain
cazala,coin-hive,2000,https://github.com/cazala/coin-hive
SChernykh,p2pool,1200,https://github.com/SChernykh/p2pool
haveno-dex,haveno,1100,https://github.com/haveno-dex/haveno
MultiPoolMiner,MultiPoolMiner,906,https://github.com/MultiPoolMiner/MultiPoolMiner
Cyclenerd,ethereum_nvidia_miner,854,https://github.com/Cyclenerd/ethereum_nvidia_miner
cake-tech,cake_wallet,829,https://github.com/cake-tech/cake_wallet
oliverw,miningcore,745,https://github.com/oliverw/miningcore
xmrig,xmrig-nvidia,714,https://github.com/xmrig/xmrig-nvidia
comit-network,xmr-btc-swap,680,https://github.com/comit-network/xmr-btc-swap
nanopool,nanominer,653,https://github.com/nanopool/nanominer
lucasjones,cpuminer-multi,648,https://github.com/lucasjones/cpuminer-multi
xmrig,xmrig-proxy,634,https://github.com/xmrig/xmrig-proxy
howardwu,wagyu,627,https://github.com/howardwu/wagyu
bitcart,bitcart,606,https://github.com/bitcart/bitcart
UnamSanctam,SilentXMRMiner,594,https://github.com/UnamSanctam/SilentXMRMiner
deepwn,deepMiner,551,https://github.com/deepwn/deepMiner
bradoyler,xmr-miner,502,https://github.com/bradoyler/xmr-miner
