username,repo_name,stars,repo_url
macrozheng,mall,79200,https://github.com/macrozheng/mall
netdata,netdata,73600,https://github.com/netdata/netdata
Asabeneh,30-Days-Of-Python,44800,https://github.com/Asabeneh/30-Days-Of-Python
meteor,meteor,44600,https://github.com/meteor/meteor
prisma,prisma,41300,https://github.com/prisma/prisma
coollabsio,coolify,37800,https://github.com/coollabsio/coolify
0voice,interview_internal_reference,36800,https://github.com/0voice/interview_internal_reference
payloadcms,payload,32800,https://github.com/payloadcms/payload
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
ityouknow,spring-boot-examples,30400,https://github.com/ityouknow/spring-boot-examples
mouredev,Hello-Python,28700,https://github.com/mouredev/Hello-Python
Automattic,mongoose,27100,https://github.com/Automattic/mongoose
mongodb,mongo,26800,https://github.com/mongodb/mongo
parse-community,parse-server,21000,https://github.com/parse-community/parse-server
Dokploy,dokploy,17400,https://github.com/Dokploy/dokploy
golang-migrate,migrate,16100,https://github.com/golang-migrate/migrate
nswbmw,N-blog,15400,https://github.com/nswbmw/N-blog
NodeBB,NodeBB,14400,https://github.com/NodeBB/NodeBB
macrozheng,mall-learning,13100,https://github.com/macrozheng/mall-learning
HabitRPG,habitica,12500,https://github.com/HabitRPG/habitica
