username,repo_name,stars,repo_url
bailicangdu,node-elm,12300,https://github.com/bailicangdu/node-elm
hagopj13,node-express-boilerplate,7100,https://github.com/hagopj13/node-express-boilerplate
idurar,idurar-erp-crm,7000,https://github.com/idurar/idurar-erp-crm
santiq,bulletproof-nodejs,5600,https://github.com/santiq/bulletproof-nodejs
madhums,node-express-mongoose-demo,5100,https://github.com/madhums/node-express-mongoose-demo
async-labs,saas,4200,https://github.com/async-labs/saas
async-labs,builderbook,3800,https://github.com/async-labs/builderbook
brocoders,nestjs-boilerplate,3500,https://github.com/brocoders/nestjs-boilerplate
konstantinmuenster,notion-clone,3000,https://github.com/konstantinmuenster/notion-clone
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
janishar,nodejs-backend-architecture-typescript,2900,https://github.com/janishar/nodejs-backend-architecture-typescript
ljlm0402,typescript-express-starter,2800,https://github.com/ljlm0402/typescript-express-starter
typegoose,mongodb-memory-server,2700,https://github.com/typegoose/mongodb-memory-server
developit,express-es6-rest-api,2500,https://github.com/developit/express-es6-rest-api
danielfsousa,express-rest-boilerplate,2400,https://github.com/danielfsousa/express-rest-boilerplate
emadehsan,thal,2400,https://github.com/emadehsan/thal
ladjs,lad,2300,https://github.com/ladjs/lad
nz-m,SocialEcho,2300,https://github.com/nz-m/SocialEcho
typegoose,typegoose,2300,https://github.com/typegoose/typegoose
huanghanzhilian,c-shopping,2200,https://github.com/huanghanzhilian/c-shopping
