username,repo_name,stars,repo_url
netdata,netdata,73600,https://github.com/netdata/netdata
grafana,grafana,66700,https://github.com/grafana/grafana
louislam,uptime-kuma,65200,https://github.com/louislam/uptime-kuma
prometheus,prometheus,57400,https://github.com/prometheus/prometheus
huginn,huginn,45000,https://github.com/huginn/huginn
Unitech,pm2,42000,https://github.com/Unitech/pm2
getsentry,sentry,40100,https://github.com/getsentry/sentry
influxdata,influxdb,29600,https://github.com/influxdata/influxdb
nicolargo,glances,27800,https://github.com/nicolargo/glances
taosdata,TDengine,23600,https://github.com/taosdata/TDengine
dgtlmoon,changedetection.io,22400,https://github.com/dgtlmoon/changedetection.io
osquery,osquery,22200,https://github.com/osquery/osquery
cilium,cilium,21000,https://github.com/cilium/cilium
SigNoz,signoz,20800,https://github.com/SigNoz/signoz
didi,DoKit,20300,https://github.com/didi/DoKit
allinurl,goaccess,19000,https://github.com/allinurl/goaccess
dianping,cat,18800,https://github.com/dianping/cat
bettercap,bettercap,17300,https://github.com/bettercap/bettercap
bcicen,ctop,15800,https://github.com/bcicen/ctop
influxdata,telegraf,15200,https://github.com/influxdata/telegraf
