username,repo_name,stars,repo_url
MvvmCross,MvvmCross,3900,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,343,https://github.com/MvvmCross/MvvmCross-Samples
Baseflow,Chameleon,152,https://github.com/Baseflow/Chameleon
MvvmCross,NPlus1DaysOfMvvmCross,146,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Plac3hold3r,MvxScaffolding,122,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,88,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,75,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
DominicMaas,SoundByteOSS,50,https://github.com/DominicMaas/SoundByteOSS
Baseflow,MvxForms,47,https://github.com/Baseflow/MvxForms
rogerwcpt,xamarin-mvvvm-frameworks,43,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,38,https://github.com/grendio/XBottomSheet
mgj,MvvmCross-Dreams,30,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,26,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,24,https://github.com/softlion/XamSvg-Samples
AppRopio,AppRopio.Mobile,23,https://github.com/AppRopio/AppRopio.Mobile
entdark,JKChat,20,https://github.com/entdark/JKChat
zleao,MvvmCross-Extensions,20,https://github.com/zleao/MvvmCross-Extensions
nmilcoff,TagsView,19,https://github.com/nmilcoff/TagsView
isax5,Hymnal-Xamarin,20,https://github.com/isax5/Hymnal-Xamarin
mkromis,MinoriEditorShell,15,https://github.com/mkromis/MinoriEditorShell
