username,repo_name,stars,repo_url
Snailclimb,JavaGuide,148000,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,79200,https://github.com/macrozheng/mall
netdata,netdata,73600,https://github.com/netdata/netdata
grafana,grafana,66700,https://github.com/grafana/grafana
strapi,strapi,65200,https://github.com/strapi/strapi
nocodb,nocodb,52400,https://github.com/nocodb/nocodb
gogs,gogs,45500,https://github.com/gogs/gogs
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
prisma,prisma,41300,https://github.com/prisma/prisma
metabase,metabase,41000,https://github.com/metabase/metabase
pingcap,tidb,38000,https://github.com/pingcap/tidb
coollabsio,coolify,37800,https://github.com/coollabsio/coolify
0voice,interview_internal_reference,36800,https://github.com/0voice/interview_internal_reference
AobingJava,JavaFamily,36300,https://github.com/AobingJava/JavaFamily
typeorm,typeorm,34900,https://github.com/typeorm/typeorm
sequelize,sequelize,29800,https://github.com/sequelize/sequelize
directus,directus,29400,https://github.com/directus/directus
YunaiV,ruoyi-vue-pro,29300,https://github.com/YunaiV/ruoyi-vue-pro
getredash,redash,27000,https://github.com/getredash/redash
drizzle-team,drizzle-orm,26600,https://github.com/drizzle-team/drizzle-orm
