username,repo_name,stars,repo_url
NativeScript,NativeScript,24600,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,5400,https://github.com/nativescript-vue/nativescript-vue
alibaba,LuaViewSDK,3700,https://github.com/alibaba/LuaViewSDK
ngx-formly,ngx-formly,2900,https://github.com/ngx-formly/ngx-formly
NathanWalker,angular-seed-advanced,2300,https://github.com/NathanWalker/angular-seed-advanced
momotech,MLN,1600,https://github.com/momotech/MLN
aptabase,aptabase,1200,https://github.com/aptabase/aptabase
NativeScript,nativescript-angular,1200,https://github.com/NativeScript/nativescript-angular
NativeScript,nativescript-cli,1000,https://github.com/NativeScript/nativescript-cli
EddyVerbruggen,nativescript-plugin-firebase,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
NativeScript,android,534,https://github.com/NativeScript/android
OpenNative,open-native,461,https://github.com/OpenNative/open-native
NativeScript,docs-v7,446,https://github.com/NativeScript/docs-v7
nstudio,xplat,370,https://github.com/nstudio/xplat
ShadowApex,godot-go,370,https://github.com/ShadowApex/godot-go
tralves,groceries-ns-vue,303,https://github.com/tralves/groceries-ns-vue
NativeScript,ios-jsc,301,https://github.com/NativeScript/ios-jsc
EddyVerbruggen,nativescript-barcodescanner,293,https://github.com/EddyVerbruggen/nativescript-barcodescanner
shirakaba,react-nativescript,285,https://github.com/shirakaba/react-nativescript
nstudio,nativescript-cardview,283,https://github.com/nstudio/nativescript-cardview
