username,repo_name,stars,repo_url
huggingface,transformers,140000,https://github.com/huggingface/transformers
infiniflow,ragflow,41300,https://github.com/infiniflow/ragflow
apachecn,ailearning,40200,https://github.com/apachecn/ailearning
google-research,bert,38700,https://github.com/google-research/bert
microsoft,AI-For-Beginners,36200,https://github.com/microsoft/AI-For-Beginners
hankcs,HanLP,34500,https://github.com/hankcs/HanLP
explosion,spaCy,31000,https://github.com/explosion/spaCy
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,22300,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
stanford-oval,storm,22100,https://github.com/stanford-oval/storm
microsoft,unilm,20800,https://github.com/microsoft/unilm
ml-tooling,best-of-ml-python,19700,https://github.com/ml-tooling/best-of-ml-python
huggingface,datasets,19700,https://github.com/huggingface/datasets
RasaHQ,rasa,19500,https://github.com/RasaHQ/rasa
deepset-ai,haystack,19500,https://github.com/deepset-ai/haystack
ymcui,Chinese-LLaMA-Alpaca,18700,https://github.com/ymcui/Chinese-LLaMA-Alpaca
HqWu-HITCS,Awesome-Chinese-LLM,18600,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM
keon,awesome-nlp,17000,https://github.com/keon/awesome-nlp
NLP-LOVE,ML-NLP,16400,https://github.com/NLP-LOVE/ML-NLP
dair-ai,ML-YouTube-Courses,16300,https://github.com/dair-ai/ML-YouTube-Courses
piskvorky,gensim,15900,https://github.com/piskvorky/gensim
