username,repo_name,stars,repo_url
nim-lang,Nim,16900,https://github.com/nim-lang/Nim
zedeus,nitter,10500,https://github.com/zedeus/nitter
kaitai-io,kaitai_struct,4100,https://github.com/kaitai-io/kaitai_struct
Dav1dde,glad,3900,https://github.com/Dav1dde/glad
dom96,jester,1600,https://github.com/dom96/jester
mratsim,Arraymancer,1400,https://github.com/mratsim/Arraymancer
aduros,wasm4,1300,https://github.com/aduros/wasm4
nim-lang,nimble,1300,https://github.com/nim-lang/nimble
planety,prologue,1300,https://github.com/planety/prologue
ringabout,awesome-nim,1200,https://github.com/ringabout/awesome-nim
yglukhov,nimx,1100,https://github.com/yglukhov/nimx
py2many,py2many,894,https://github.com/py2many/py2many
Pebaz,nimporter,840,https://github.com/Pebaz/nimporter
nim-lang,nimforum,765,https://github.com/nim-lang/nimforum
simonkrauter,NiGui,731,https://github.com/simonkrauter/NiGui
arnetheduck,nlvm,725,https://github.com/arnetheduck/nlvm
brentp,mosdepth,724,https://github.com/brentp/mosdepth
codic12,worm,719,https://github.com/codic12/worm
hanabi1224,Programming-Language-Benchmarks,698,https://github.com/hanabi1224/Programming-Language-Benchmarks
dom96,choosenim,681,https://github.com/dom96/choosenim
