username,repo_name,stars,repo_url
redis,redis,68100,https://github.com/redis/redis
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
surrealdb,surrealdb,28800,https://github.com/surrealdb/surrealdb
dragonflydb,dragonfly,27300,https://github.com/dragonflydb/dragonfly
mongodb,mongo,26800,https://github.com/mongodb/mongo
pubkey,rxdb,22100,https://github.com/pubkey/rxdb
valkey-io,valkey,19200,https://github.com/valkey-io/valkey
scylladb,scylladb,14100,https://github.com/scylladb/scylladb
neo4j,neo4j,13900,https://github.com/neo4j/neo4j
arangodb,arangodb,13700,https://github.com/arangodb/arangodb
CodisLabs,codis,13200,https://github.com/CodisLabs/codis
mongodb,node-mongodb-native,10100,https://github.com/mongodb/node-mongodb-native
madd86,awesome-system-design,10000,https://github.com/madd86/awesome-system-design
litedb-org,LiteDB,8800,https://github.com/litedb-org/LiteDB
appbaseio,dejavu,8400,https://github.com/appbaseio/dejavu
linkedin,school-of-sre,7900,https://github.com/linkedin/school-of-sre
msiemens,tinydb,7000,https://github.com/msiemens/tinydb
oracle,docker-images,6700,https://github.com/oracle/docker-images
apache,zeppelin,6500,https://github.com/apache/zeppelin
OpenAtomFoundation,pikiwidb,6000,https://github.com/OpenAtomFoundation/pikiwidb
