username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,411000,https://github.com/freeCodeCamp/freeCodeCamp
Chalarangelo,30-seconds-of-code,123000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,116000,https://github.com/electron/electron
nodejs,node,110000,https://github.com/nodejs/node
axios,axios,106000,https://github.com/axios/axios
goldbergyoni,nodebestpractices,102000,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,82500,https://github.com/nvm-sh/nvm
oven-sh,bun,76500,https://github.com/oven-sh/bun
nestjs,nest,69600,https://github.com/nestjs/nest
expressjs,express,66400,https://github.com/expressjs/express
strapi,strapi,65200,https://github.com/strapi/strapi
leonardomso,33-js-concepts,64700,https://github.com/leonardomso/33-js-concepts
socketio,socket.io,61700,https://github.com/socketio/socket.io
sindresorhus,awesome-nodejs,59700,https://github.com/sindresorhus/awesome-nodejs
immich-app,immich,59000,https://github.com/immich-app/immich
OpenInterpreter,open-interpreter,58500,https://github.com/OpenInterpreter/open-interpreter
TryGhost,Ghost,48500,https://github.com/TryGhost/Ghost
laurent22,joplin,47900,https://github.com/laurent22/joplin
meteor,meteor,44600,https://github.com/meteor/meteor
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
