username,repo_name,stars,repo_url
vsouza,awesome-ios,48300,https://github.com/vsouza/awesome-ios
dkhamsing,open-source-ios-apps,44100,https://github.com/dkhamsing/open-source-ios-apps
serhii-londar,open-source-mac-os-apps,42900,https://github.com/serhii-londar/open-source-mac-os-apps
SDWebImage,SDWebImage,25100,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,24600,https://github.com/NativeScript/NativeScript
kyleneideck,BackgroundMusic,16900,https://github.com/kyleneideck/BackgroundMusic
hackiftekhar,IQKeyboardManager,16500,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,16400,https://github.com/realm/realm-swift
OpenEmu,OpenEmu,16400,https://github.com/OpenEmu/OpenEmu
facebook,infer,15100,https://github.com/facebook/infer
CocoaPods,CocoaPods,14600,https://github.com/CocoaPods/CocoaPods
CoderMJLee,MJRefresh,13800,https://github.com/CoderMJLee/MJRefresh
CocoaLumberjack,CocoaLumberjack,13200,https://github.com/CocoaLumberjack/CocoaLumberjack
halfrost,Halfrost-Field,13000,https://github.com/halfrost/Halfrost-Field
Instagram,IGListKit,12900,https://github.com/Instagram/IGListKit
glideapps,quicktype,12800,https://github.com/glideapps/quicktype
Hammerspoon,hammerspoon,12600,https://github.com/Hammerspoon/hammerspoon
SVProgressHUD,SVProgressHUD,12400,https://github.com/SVProgressHUD/SVProgressHUD
Tim9Liu9,TimLiu-iOS,11700,https://github.com/Tim9Liu9/TimLiu-iOS
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
