username,repo_name,stars,repo_url
alacritty,alacritty,57800,https://github.com/alacritty/alacritty
kovidgoyal,kitty,26400,https://github.com/kovidgoyal/kitty
raysan5,raylib,25100,https://github.com/raysan5/raylib
ssloy,tinyrenderer,21300,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18400,https://github.com/lettier/3d-game-shaders-for-beginners
google,filament,18200,https://github.com/google/filament
RPCS3,rpcs3,16300,https://github.com/RPCS3/rpcs3
kitao,pyxel,16000,https://github.com/kitao/pyxel
bkaradzic,bgfx,15500,https://github.com/bkaradzic/bgfx
OpenRCT2,OpenRCT2,14000,https://github.com/OpenRCT2/OpenRCT2
glfw,glfw,13500,https://github.com/glfw/glfw
gfx-rs,wgpu,13500,https://github.com/gfx-rs/wgpu
SFTtech,openage,12900,https://github.com/SFTtech/openage
isl-org,Open3D,12000,https://github.com/isl-org/Open3D
SFML,SFML,10700,https://github.com/SFML/SFML
fogleman,Craft,10600,https://github.com/fogleman/Craft
openframeworks,openFrameworks,10100,https://github.com/openframeworks/openFrameworks
g-truc,glm,9700,https://github.com/g-truc/glm
baldurk,renderdoc,9400,https://github.com/baldurk/renderdoc
cats-oss,android-gpuimage,9100,https://github.com/cats-oss/android-gpuimage
