username,repo_name,stars,repo_url
huihut,interview,35500,https://github.com/huihut/interview
SerenityOS,serenity,31100,https://github.com/SerenityOS/serenity
HeyPuter,puter,28800,https://github.com/HeyPuter/puter
anoma,anoma,26900,https://github.com/anoma/anoma
Awesome-HarmonyOS,HarmonyOS,19500,https://github.com/Awesome-HarmonyOS/HarmonyOS
phil-opp,blog_os,16200,https://github.com/phil-opp/blog_os
redox-os,redox,15300,https://github.com/redox-os/redox
reactos,reactos,15100,https://github.com/reactos/reactos
rust-embedded,rust-raspberrypi-OS-tutorials,14000,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
s-matyukevich,raspberry-pi-os,13400,https://github.com/s-matyukevich/raspberry-pi-os
tuhdo,os01,12400,https://github.com/tuhdo/os01
gurugio,lowlevelprogramming-university,11600,https://github.com/gurugio/lowlevelprogramming-university
AkashSingh3031,The-Complete-FAANG-Preparation,11000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
wolverinn,Waking-Up,9900,https://github.com/wolverinn/Waking-Up
bottlerocket-os,bottlerocket,9000,https://github.com/bottlerocket-os/bottlerocket
NodeOS,NodeOS,7000,https://github.com/NodeOS/NodeOS
klange,toaruos,6300,https://github.com/klange/toaruos
yourtion,30dayMakeOS,6100,https://github.com/yourtion/30dayMakeOS
ravynsoft,ravynos,5700,https://github.com/ravynsoft/ravynos
tock,tock,5700,https://github.com/tock/tock
