username,repo_name,stars,repo_url
fatedier,frp,90900,https://github.com/fatedier/frp
rustdesk,rustdesk,83100,https://github.com/rustdesk/rustdesk
bitcoin,bitcoin,82200,https://github.com/bitcoin/bitcoin
syncthing,syncthing,67900,https://github.com/syncthing/syncthing
ethereum,go-ethereum,48500,https://github.com/ethereum/go-ethereum
webtorrent,webtorrent,30000,https://github.com/webtorrent/webtorrent
anoma,anoma,26900,https://github.com/anoma/anoma
ipfs,ipfs,22800,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,18500,https://github.com/HelloZeroNet/ZeroNet
yjs,yjs,18400,https://github.com/yjs/yjs
amark,gun,18300,https://github.com/amark/gun
pion,webrtc,14300,https://github.com/pion/webrtc
Chocobozzz,PeerTube,13500,https://github.com/Chocobozzz/PeerTube
peers,peerjs,12700,https://github.com/peers/peerjs
webtorrent,webtorrent-desktop,9800,https://github.com/webtorrent/webtorrent-desktop
monero-project,monero,9300,https://github.com/monero-project/monero
orbitdb,orbitdb,8400,https://github.com/orbitdb/orbitdb
berty,berty,7800,https://github.com/berty/berty
feross,simple-peer,7500,https://github.com/feross/simple-peer
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
