username,repo_name,stars,repo_url
laravel,laravel,80100,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
coollabsio,coolify,37800,https://github.com/coollabsio/coolify
laravel,framework,33200,https://github.com/laravel/framework
ziadoz,awesome-php,31400,https://github.com/ziadoz/awesome-php
symfony,symfony,30100,https://github.com/symfony/symfony
composer,composer,28800,https://github.com/composer/composer
nextcloud,server,28700,https://github.com/nextcloud/server
guzzle,guzzle,23300,https://github.com/guzzle/guzzle
monicahq,monica,22300,https://github.com/monicahq/monica
DesignPatternsPHP,DesignPatternsPHP,22100,https://github.com/DesignPatternsPHP/DesignPatternsPHP
PHPMailer,PHPMailer,21300,https://github.com/PHPMailer/PHPMailer
Seldaek,monolog,21200,https://github.com/Seldaek/monolog
matomo-org,matomo,20300,https://github.com/matomo-org/matomo
sebastianbergmann,phpunit,19800,https://github.com/sebastianbergmann/phpunit
swoole,swoole-src,18600,https://github.com/swoole/swoole-src
facebook,hhvm,18300,https://github.com/facebook/hhvm
bcit-ci,CodeIgniter,18300,https://github.com/bcit-ci/CodeIgniter
firefly-iii,firefly-iii,18200,https://github.com/firefly-iii/firefly-iii
antlr,antlr4,17600,https://github.com/antlr/antlr4
