username,repo_name,stars,repo_url
kitao,pyxel,16000,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2700,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,783,https://github.com/picolove/picolove
jtothebell,fake-08,647,https://github.com/jtothebell/fake-08
dansanderson,picotool,372,https://github.com/dansanderson/picotool
Liquidream,scumm-8,327,https://github.com/Liquidream/scumm-8
Jakz,retro8,257,https://github.com/Jakz/retro8
torch2424,picoDeploy,225,https://github.com/torch2424/picoDeploy
0xcafed00d,tac08,206,https://github.com/0xcafed00d/tac08
wh0am1-dev,pico8-api,149,https://github.com/wh0am1-dev/pico8-api
seleb,PICO-8-Token-Optimizations,143,https://github.com/seleb/PICO-8-Token-Optimizations
yocto-8,yocto-8,114,https://github.com/yocto-8/yocto-8
juanitogan,p8-programming-fonts,112,https://github.com/juanitogan/p8-programming-fonts
thisismypassport,shrinko8,105,https://github.com/thisismypassport/shrinko8
BlueAmulet,picolove,101,https://github.com/BlueAmulet/picolove
movAX13h,P8Coder,99,https://github.com/movAX13h/P8Coder
ace-dent,8x8.me,92,https://github.com/ace-dent/8x8.me
Feneric,Minima,90,https://github.com/Feneric/Minima
freds72,pico8,88,https://github.com/freds72/pico8
JoebRogers,PICO-Tween,82,https://github.com/JoebRogers/PICO-Tween
