username,repo_name,stars,repo_url
angular,angular,97100,https://github.com/angular/angular
hoppscotch,hoppscotch,68500,https://github.com/hoppscotch/hoppscotch
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
freeCodeCamp,devdocs,35800,https://github.com/freeCodeCamp/devdocs
qier222,YesPlayMusic,30400,https://github.com/qier222/YesPlayMusic
GoogleChrome,lighthouse,28700,https://github.com/GoogleChrome/lighthouse
quasarframework,quasar,26300,https://github.com/quasarframework/quasar
Lissy93,dashy,19800,https://github.com/Lissy93/dashy
dailydotdev,daily,19200,https://github.com/dailydotdev/daily
SnapDrop,snapdrop,18800,https://github.com/SnapDrop/snapdrop
ionic-team,capacitor,12800,https://github.com/ionic-team/capacitor
vuestorefront,vue-storefront,10700,https://github.com/vuestorefront/vue-storefront
aws-amplify,amplify-js,9500,https://github.com/aws-amplify/amplify-js
OnsenUI,OnsenUI,8800,https://github.com/OnsenUI/OnsenUI
maxence-charriere,go-app,8500,https://github.com/maxence-charriere/go-app
cotes2020,jekyll-theme-chirpy,8200,https://github.com/cotes2020/jekyll-theme-chirpy
alibaba,rax,8000,https://github.com/alibaba/rax
BuilderIO,builder,7900,https://github.com/BuilderIO/builder
andreasbm,web-skills,7100,https://github.com/andreasbm/web-skills
angus-c,just,6100,https://github.com/angus-c/just
