username,repo_name,stars,repo_url
Homebrew,brew,42700,https://github.com/Homebrew/brew
yarnpkg,yarn,41500,https://github.com/yarnpkg/yarn
python-poetry,poetry,32700,https://github.com/python-poetry/poetry
pnpm,pnpm,30900,https://github.com/pnpm/pnpm
composer,composer,28800,https://github.com/composer/composer
microsoft,vcpkg,24100,https://github.com/microsoft/vcpkg
microsoft,winget-cli,23900,https://github.com/microsoft/winget-cli
folke,lazy.nvim,16400,https://github.com/folke/lazy.nvim
Carthage,Carthage,15000,https://github.com/Carthage/Carthage
bower,bower,15000,https://github.com/bower/bower
marticliment,UniGetUI,14700,https://github.com/marticliment/UniGetUI
CocoaPods,CocoaPods,14600,https://github.com/CocoaPods/CocoaPods
astral-sh,rye,14000,https://github.com/astral-sh/rye
NixOS,nix,13700,https://github.com/NixOS/nix
rust-lang,cargo,13200,https://github.com/rust-lang/cargo
golang,dep,12800,https://github.com/golang/dep
volta-cli,volta,11600,https://github.com/volta-cli/volta
xmake-io,xmake,10700,https://github.com/xmake-io/xmake
ds300,patch-package,10700,https://github.com/ds300/patch-package
chocolatey,choco,10600,https://github.com/chocolatey/choco
