username,repo_name,stars,repo_url
gchq,CyberChef,30400,https://github.com/gchq/CyberChef
pydantic,pydantic,22600,https://github.com/pydantic/pydantic
tree-sitter,tree-sitter,19700,https://github.com/tree-sitter/tree-sitter
antlr,antlr4,17600,https://github.com/antlr/antlr4
soxoj,maigret,14800,https://github.com/soxoj/maigret
DoctorWkt,acwj,11500,https://github.com/DoctorWkt/acwj
llmware-ai,llmware,10200,https://github.com/llmware-ai/llmware
jquery,esprima,7100,https://github.com/jquery/esprima
fabian-hiller,valibot,7000,https://github.com/fabian-hiller/valibot
ohmjs,ohm,5300,https://github.com/ohmjs/ohm
marmelroy,PhoneNumberKit,5200,https://github.com/marmelroy/PhoneNumberKit
estree,estree,5200,https://github.com/estree/estree
Leonidas-from-XIV,node-xml2js,4900,https://github.com/Leonidas-from-XIV/node-xml2js
arktypeio,arktype,4900,https://github.com/arktypeio/arktype
pest-parser,pest,4800,https://github.com/pest-parser/pest
lief-project,LIEF,4700,https://github.com/lief-project/LIEF
google,wuffs,4300,https://github.com/google/wuffs
troessner,reek,4100,https://github.com/troessner/reek
Knetic,govaluate,3800,https://github.com/Knetic/govaluate
zesterer,chumsky,3800,https://github.com/zesterer/chumsky
