username,repo_name,stars,repo_url
learnbyexample,Command-line-text-processing,10200,https://github.com/learnbyexample/Command-line-text-processing
HariSekhon,DevOps-Bash-tools,6500,https://github.com/HariSekhon/DevOps-Bash-tools
theos,theos,4600,https://github.com/theos/theos
kaitai-io,kaitai_struct,4100,https://github.com/kaitai-io/kaitai_struct
imapsync,imapsync,3500,https://github.com/imapsync/imapsync
exiftool,exiftool,3500,https://github.com/exiftool/exiftool
rsnapshot,rsnapshot,3400,https://github.com/rsnapshot/rsnapshot
weechat,weechat,3000,https://github.com/weechat/weechat
apache,avro,3000,https://github.com/apache/avro
mojolicious,mojo,2700,https://github.com/mojolicious/mojo
jfcoz,postgresqltuner,2600,https://github.com/jfcoz/postgresqltuner
Difegue,LANraragi,2400,https://github.com/Difegue/LANraragi
Komodo,KomodoEdit,2200,https://github.com/Komodo/KomodoEdit
neurobin,shc,2100,https://github.com/neurobin/shc
Perl,perl5,2000,https://github.com/Perl/perl5
munin-monitoring,munin,2000,https://github.com/munin-monitoring/munin
htrgouvea,nipe,2000,https://github.com/htrgouvea/nipe
kaxap,arl,2000,https://github.com/kaxap/arl
hexsum,Mojo-Webqq,1700,https://github.com/hexsum/Mojo-Webqq
beyondgrep,ack2,1500,https://github.com/beyondgrep/ack2
