username,repo_name,stars,repo_url
supabase,supabase,78100,https://github.com/supabase/supabase
netdata,netdata,73600,https://github.com/netdata/netdata
nocodb,nocodb,52400,https://github.com/nocodb/nocodb
gogs,gogs,45500,https://github.com/gogs/gogs
discourse,discourse,43300,https://github.com/discourse/discourse
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
maybe-finance,maybe,41700,https://github.com/maybe-finance/maybe
prisma,prisma,41300,https://github.com/prisma/prisma
metabase,metabase,41000,https://github.com/metabase/metabase
coollabsio,coolify,37800,https://github.com/coollabsio/coolify
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
typeorm,typeorm,34900,https://github.com/typeorm/typeorm
calcom,cal.com,34200,https://github.com/calcom/cal.com
makeplane,plane,32700,https://github.com/makeplane/plane
fastapi,full-stack-fastapi-template,30600,https://github.com/fastapi/full-stack-fastapi-template
sequelize,sequelize,29800,https://github.com/sequelize/sequelize
directus,directus,29400,https://github.com/directus/directus
getredash,redash,27000,https://github.com/getredash/redash
drizzle-team,drizzle-orm,26600,https://github.com/drizzle-team/drizzle-orm
twentyhq,twenty,26000,https://github.com/twentyhq/twenty
