username,repo_name,stars,repo_url
AppFlowy-IO,AppFlowy,61000,https://github.com/AppFlowy-IO/AppFlowy
makeplane,plane,32700,https://github.com/makeplane/plane
frappe,erpnext,23800,https://github.com/frappe/erpnext
mattermost-community,focalboard,22900,https://github.com/mattermost-community/focalboard
hcengineering,platform,19400,https://github.com/hcengineering/platform
joelparkerhenderson,architecture-decision-record,12900,https://github.com/joelparkerhenderson/architecture-decision-record
opf,openproject,9900,https://github.com/opf/openproject
kanboard,kanboard,8700,https://github.com/kanboard/kanboard
Leantime,leantime,5100,https://github.com/Leantime/leantime
kuaifan,dootask,4900,https://github.com/kuaifan/dootask
JordanKnott,taskcafe,4600,https://github.com/JordanKnott/taskcafe
mark-when,markwhen,4500,https://github.com/mark-when/markwhen
bbatsov,projectile,4000,https://github.com/bbatsov/projectile
gdcmarinho,awesome-project,3100,https://github.com/gdcmarinho/awesome-project
freeplane,freeplane,2900,https://github.com/freeplane/freeplane
ONLYOFFICE,CommunityServer,2800,https://github.com/ONLYOFFICE/CommunityServer
200ok-ch,organice,2500,https://github.com/200ok-ch/organice
ever-co,ever-gauzy,2500,https://github.com/ever-co/ever-gauzy
boltpkg,bolt,2400,https://github.com/boltpkg/bolt
engineering-management,awesome-engineering-management,2300,https://github.com/engineering-management/awesome-engineering-management
