username,repo_name,stars,repo_url
TryGhost,Ghost,48500,https://github.com/TryGhost/Ghost
jgm,pandoc,36100,https://github.com/jgm/pandoc
lerna,lerna,35800,https://github.com/lerna/lerna
timlrx,tailwind-nextjs-starter-blog,9300,https://github.com/timlrx/tailwind-nextjs-starter-blog
nteract,papermill,6100,https://github.com/nteract/papermill
writefreely,writefreely,4700,https://github.com/writefreely/writefreely
Triple-T,gradle-play-publisher,4200,https://github.com/Triple-T/gradle-play-publisher
austintoddj,canvas,3300,https://github.com/austintoddj/canvas
themsaid,wink,2900,https://github.com/themsaid/wink
substance,substance,2700,https://github.com/substance/substance
TryGhost,Casper,2500,https://github.com/TryGhost/Casper
intuit,auto,2300,https://github.com/intuit/auto
w3c,epubcheck,1700,https://github.com/w3c/epubcheck
sile-typesetter,sile,1700,https://github.com/sile-typesetter/sile
openjournals,joss,1600,https://github.com/openjournals/joss
vanniktech,gradle-maven-publish-plugin,1400,https://github.com/vanniktech/gradle-maven-publish-plugin
substance,texture,1000,https://github.com/substance/texture
WilliamVenner,gmpublisher,881,https://github.com/WilliamVenner/gmpublisher
man-group,notebooker,869,https://github.com/man-group/notebooker
elgohr,Publish-Docker-Github-Action,781,https://github.com/elgohr/Publish-Docker-Github-Action
