username,repo_name,stars,repo_url
donnemartin,system-design-primer,290000,https://github.com/donnemartin/system-design-primer
vinta,awesome-python,235000,https://github.com/vinta/awesome-python
practical-tutorials,project-based-learning,219000,https://github.com/practical-tutorials/project-based-learning
TheAlgorithms,Python,198000,https://github.com/TheAlgorithms/Python
tensorflow,tensorflow,188000,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,179000,https://github.com/CyC2018/CS-Notes
Significant-Gravitas,AutoGPT,172000,https://github.com/Significant-Gravitas/AutoGPT
huggingface,transformers,140000,https://github.com/huggingface/transformers
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
yt-dlp,yt-dlp,102000,https://github.com/yt-dlp/yt-dlp
521xueweihan,HelloGitHub,99000,https://github.com/521xueweihan/HelloGitHub
nvbn,thefuck,90300,https://github.com/nvbn/thefuck
pytorch,pytorch,87300,https://github.com/pytorch/pytorch
django,django,82500,https://github.com/django/django
fastapi,fastapi,81400,https://github.com/fastapi/fastapi
home-assistant,core,76800,https://github.com/home-assistant/core
3b1b,manim,75500,https://github.com/3b1b/manim
langgenius,dify,74600,https://github.com/langgenius/dify
microsoft,ML-For-Beginners,71200,https://github.com/microsoft/ML-For-Beginners
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
