username,repo_name,stars,repo_url
hiroi-sora,Umi-OCR,29900,https://github.com/hiroi-sora/Umi-OCR
flameshot-org,flameshot,25600,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,23000,https://github.com/Swordfish90/cool-retro-term
barry-ran,QtScrcpy,22900,https://github.com/barry-ran/QtScrcpy
matplotlib,matplotlib,20800,https://github.com/matplotlib/matplotlib
MatsuriDayo,nekoray,14500,https://github.com/MatsuriDayo/nekoray
PySimpleGUI,PySimpleGUI,13600,https://github.com/PySimpleGUI/PySimpleGUI
SFTtech,openage,12900,https://github.com/SFTtech/openage
musescore,MuseScore,12700,https://github.com/musescore/MuseScore
moonlight-stream,moonlight-qt,12100,https://github.com/moonlight-stream/moonlight-qt
zealdocs,zeal,12000,https://github.com/zealdocs/zeal
mapeditor,tiled,11500,https://github.com/mapeditor/tiled
jopohl,urh,11300,https://github.com/jopohl/urh
therecipe,qt,10600,https://github.com/therecipe/qt
qutebrowser,qutebrowser,10100,https://github.com/qutebrowser/qutebrowser
filecxx,FileCentipede,10100,https://github.com/filecxx/FileCentipede
dail8859,NotepadNext,9700,https://github.com/dail8859/NotepadNext
nodegui,nodegui,9000,https://github.com/nodegui/nodegui
spyder-ide,spyder,8600,https://github.com/spyder-ide/spyder
olive-editor,olive,8400,https://github.com/olive-editor/olive
