username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,71200,https://github.com/microsoft/ML-For-Beginners
apache,spark,40600,https://github.com/apache/spark
facebook,prophet,18900,https://github.com/facebook/prophet
microsoft,LightGBM,17000,https://github.com/microsoft/LightGBM
FavioVazquez,ds-cheatsheets,15000,https://github.com/FavioVazquez/ds-cheatsheets
kanaka,mal,10200,https://github.com/kanaka/mal
Netflix,metaflow,8600,https://github.com/Netflix/metaflow
HugoBlox,hugo-blox-builder,8500,https://github.com/HugoBlox/hugo-blox-builder
catboost,catboost,8300,https://github.com/catboost/catboost
h2oai,h2o-3,7100,https://github.com/h2oai/h2o-3
tidyverse,ggplot2,6600,https://github.com/tidyverse/ggplot2
cxli233,FriendsDontLetFriends,6600,https://github.com/cxli233/FriendsDontLetFriends
qinwf,awesome-R,6100,https://github.com/qinwf/awesome-R
nteract,papermill,6100,https://github.com/nteract/papermill
rstudio,shiny,5400,https://github.com/rstudio/shiny
tidyverse,dplyr,4800,https://github.com/tidyverse/dplyr
hadley,r4ds,4700,https://github.com/hadley/r4ds
thuquant,awesome-quant,4400,https://github.com/thuquant/awesome-quant
h2oai,wave,4100,https://github.com/h2oai/wave
jeroenjanssens,data-science-at-the-command-line,3800,https://github.com/jeroenjanssens/data-science-at-the-command-line
