username,repo_name,stars,repo_url
hoppscotch,hoppscotch,68500,https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,52400,https://github.com/nocodb/nocodb
Kong,insomnia,35700,https://github.com/Kong/insomnia
gofiber,fiber,35200,https://github.com/gofiber/fiber
httpie,cli,34900,https://github.com/httpie/cli
makeplane,plane,32700,https://github.com/makeplane/plane
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
zeromicro,go-zero,30000,https://github.com/zeromicro/go-zero
swagger-api,swagger-ui,27000,https://github.com/swagger-api/swagger-ui
microsoft,api-guidelines,22900,https://github.com/microsoft/api-guidelines
OpenAPITools,openapi-generator,22900,https://github.com/OpenAPITools/openapi-generator
binwiederhier,ntfy,21500,https://github.com/binwiederhier/ntfy
parse-community,parse-server,21000,https://github.com/parse-community/parse-server
go-chi,chi,19200,https://github.com/go-chi/chi
grpc-ecosystem,grpc-gateway,18600,https://github.com/grpc-ecosystem/grpc-gateway
swagger-api,swagger-codegen,17200,https://github.com/swagger-api/swagger-codegen
kgrzybek,modular-monolith-with-ddd,11600,https://github.com/kgrzybek/modular-monolith-with-ddd
restify,node-restify,10700,https://github.com/restify/node-restify
r-spacex,SpaceX-API,10600,https://github.com/r-spacex/SpaceX-API
dotnet-architecture,eShopOnWeb,10300,https://github.com/dotnet-architecture/eShopOnWeb
