username,repo_name,stars,repo_url
rails,rails,56500,https://github.com/rails/rails
discourse,discourse,43300,https://github.com/discourse/discourse
heartcombo,devise,24100,https://github.com/heartcombo/devise
gitlabhq,gitlabhq,23900,https://github.com/gitlabhq/gitlabhq
chatwoot,chatwoot,22500,https://github.com/chatwoot/chatwoot
forem,forem,22200,https://github.com/forem/forem
spree,spree,14400,https://github.com/spree/spree
diaspora,diaspora,13500,https://github.com/diaspora/diaspora
activeadmin,activeadmin,9600,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8600,https://github.com/kaminari/kaminari
primer,octicons,8400,https://github.com/primer/octicons
heartcombo,simple_form,8200,https://github.com/heartcombo/simple_form
gobuffalo,buffalo,8100,https://github.com/gobuffalo/buffalo
thoughtbot,factory_bot,8000,https://github.com/thoughtbot/factory_bot
presidentbeef,brakeman,7100,https://github.com/presidentbeef/brakeman
paper-trail-gem,paper_trail,6800,https://github.com/paper-trail-gem/paper_trail
reactjs,react-rails,6800,https://github.com/reactjs/react-rails
railsgirls,guides.railsgirls.com,6600,https://github.com/railsgirls/guides.railsgirls.com
ankane,searchkick,6600,https://github.com/ankane/searchkick
sj26,mailcatcher,6600,https://github.com/sj26/mailcatcher
