username,repo_name,stars,repo_url
home-assistant,core,76800,https://github.com/home-assistant/core
netdata,netdata,73600,https://github.com/netdata/netdata
pi-hole,pi-hole,50600,https://github.com/pi-hole/pi-hole
gogs,gogs,45500,https://github.com/gogs/gogs
hwdsl2,setup-ipsec-vpn,25800,https://github.com/hwdsl2/setup-ipsec-vpn
raysan5,raylib,25100,https://github.com/raysan5/raylib
MagicMirrorOrg,MagicMirror,21000,https://github.com/MagicMirrorOrg/MagicMirror
jarun,nnn,19700,https://github.com/jarun/nnn
microsoft,IoT-For-Beginners,15600,https://github.com/microsoft/IoT-For-Beginners
thibmaek,awesome-raspberry-pi,14100,https://github.com/thibmaek/awesome-raspberry-pi
rust-embedded,rust-raspberrypi-OS-tutorials,14000,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
s-matyukevich,raspberry-pi-os,13400,https://github.com/s-matyukevich/raspberry-pi-os
navidrome,navidrome,13300,https://github.com/navidrome/navidrome
rwaldron,johnny-five,13300,https://github.com/rwaldron/johnny-five
mikeroyal,Self-Hosting-Guide,12400,https://github.com/mikeroyal/Self-Hosting-Guide
therecipe,qt,10600,https://github.com/therecipe/qt
nasa,fprime,10200,https://github.com/nasa/fprime
RetroPie,RetroPie-Setup,10100,https://github.com/RetroPie/RetroPie-Setup
openframeworks,openFrameworks,10100,https://github.com/openframeworks/openFrameworks
hybridgroup,gobot,9100,https://github.com/hybridgroup/gobot
