username,repo_name,stars,repo_url
facebook,react-native,121000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
enaqx,awesome-react,67000,https://github.com/enaqx/awesome-react
laurent22,joplin,47900,https://github.com/laurent22/joplin
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
dkhamsing,open-source-ios-apps,44100,https://github.com/dkhamsing/open-source-ios-apps
react-hook-form,react-hook-form,42500,https://github.com/react-hook-form/react-hook-form
sudheerj,reactjs-interview-questions,41100,https://github.com/sudheerj/reactjs-interview-questions
expo,expo,37700,https://github.com/expo/expo
NervJS,taro,36100,https://github.com/NervJS/taro
jondot,awesome-react-native,35000,https://github.com/jondot/awesome-react-native
typeorm,typeorm,34900,https://github.com/typeorm/typeorm
jaredpalmer,formik,34200,https://github.com/jaredpalmer/formik
mattermost,mattermost,31800,https://github.com/mattermost/mattermost
vercel,swr,31100,https://github.com/vercel/swr
react-native-elements,react-native-elements,25300,https://github.com/react-native-elements/react-native-elements
react-navigation,react-navigation,23800,https://github.com/react-navigation/react-navigation
zulip,zulip,22300,https://github.com/zulip/zulip
pubkey,rxdb,22100,https://github.com/pubkey/rxdb
