username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,411000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,233000,https://github.com/facebook/react
vercel,next.js,130000,https://github.com/vercel/next.js
facebook,react-native,121000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,103000,https://github.com/facebook/create-react-app
mui,material-ui,94900,https://github.com/mui/material-ui
ant-design,ant-design,93800,https://github.com/ant-design/ant-design
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
shadcn-ui,ui,81900,https://github.com/shadcn-ui/ui
ChatGPTNextWeb,NextChat,81400,https://github.com/ChatGPTNextWeb/NextChat
oven-sh,bun,76500,https://github.com/oven-sh/bun
enaqx,awesome-react,67000,https://github.com/enaqx/awesome-react
leonardomso,33-js-concepts,64700,https://github.com/leonardomso/33-js-concepts
apache,superset,64700,https://github.com/apache/superset
facebook,docusaurus,58500,https://github.com/facebook/docusaurus
gatsbyjs,gatsby,55800,https://github.com/gatsbyjs/gatsby
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
pmndrs,zustand,50500,https://github.com/pmndrs/zustand
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
