username,repo_name,stars,repo_url
DopplerHQ,awesome-interview-questions,73400,https://github.com/DopplerHQ/awesome-interview-questions
rails,rails,56500,https://github.com/rails/rails
jekyll,jekyll,49700,https://github.com/jekyll/jekyll
discourse,discourse,43300,https://github.com/discourse/discourse
serhii-londar,open-source-mac-os-apps,42900,https://github.com/serhii-londar/open-source-mac-os-apps
Homebrew,brew,42700,https://github.com/Homebrew/brew
maybe-finance,maybe,41700,https://github.com/maybe-finance/maybe
fastlane,fastlane,39900,https://github.com/fastlane/fastlane
SeleniumHQ,selenium,31700,https://github.com/SeleniumHQ/selenium
hashicorp,vagrant,26500,https://github.com/hashicorp/vagrant
heartcombo,devise,24100,https://github.com/heartcombo/devise
gitlabhq,gitlabhq,23900,https://github.com/gitlabhq/gitlabhq
asdf-vm,asdf,23000,https://github.com/asdf-vm/asdf
chatwoot,chatwoot,22500,https://github.com/chatwoot/chatwoot
ruby,ruby,22400,https://github.com/ruby/ruby
forem,forem,22200,https://github.com/forem/forem
lewagon,setup,18900,https://github.com/lewagon/setup
rubocop,ruby-style-guide,16500,https://github.com/rubocop/ruby-style-guide
rbenv,rbenv,16300,https://github.com/rbenv/rbenv
postalserver,postal,15200,https://github.com/postalserver/postal
