username,repo_name,stars,repo_url
denoland,deno,102000,https://github.com/denoland/deno
rust-lang,rust,102000,https://github.com/rust-lang/rust
tauri-apps,tauri,89900,https://github.com/tauri-apps/tauri
rustdesk,rustdesk,83100,https://github.com/rustdesk/rustdesk
alacritty,alacritty,57800,https://github.com/alacritty/alacritty
rust-lang,rustlings,56600,https://github.com/rust-lang/rustlings
lencx,ChatGPT,53600,https://github.com/lencx/ChatGPT
sharkdp,bat,51300,https://github.com/sharkdp/bat
BurntSushi,ripgrep,50700,https://github.com/BurntSushi/ripgrep
rust-unofficial,awesome-rust,48900,https://github.com/rust-unofficial/awesome-rust
starship,starship,47300,https://github.com/starship/starship
toeverything,AFFiNE,46100,https://github.com/toeverything/AFFiNE
dani-garcia,vaultwarden,42100,https://github.com/dani-garcia/vaultwarden
ClickHouse,ClickHouse,39200,https://github.com/ClickHouse/ClickHouse
bevyengine,bevy,38200,https://github.com/bevyengine/bevy
astral-sh,ruff,36200,https://github.com/astral-sh/ruff
helix-editor,helix,36100,https://github.com/helix-editor/helix
sharkdp,fd,35700,https://github.com/sharkdp/fd
tw93,Pake,35300,https://github.com/tw93/Pake
lapce,lapce,35000,https://github.com/lapce/lapce
