username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
apache,spark,40600,https://github.com/apache/spark
ClickHouse,ClickHouse,39200,https://github.com/ClickHouse/ClickHouse
pingcap,tidb,38000,https://github.com/pingcap/tidb
cockroachdb,cockroach,30600,https://github.com/cockroachdb/cockroach
sequelize,sequelize,29800,https://github.com/sequelize/sequelize
directus,directus,29400,https://github.com/directus/directus
surrealdb,surrealdb,28800,https://github.com/surrealdb/surrealdb
DataExpert-io,data-engineer-handbook,26800,https://github.com/DataExpert-io/data-engineer-handbook
duckdb,duckdb,26800,https://github.com/duckdb/duckdb
drizzle-team,drizzle-orm,26600,https://github.com/drizzle-team/drizzle-orm
drawdb-io,drawdb,24800,https://github.com/drawdb-io/drawdb
PostgREST,postgrest,24700,https://github.com/PostgREST/postgrest
apache,flink,24600,https://github.com/apache/flink
taosdata,TDengine,23600,https://github.com/taosdata/TDengine
osquery,osquery,22200,https://github.com/osquery/osquery
forthespada,CS-Books,22000,https://github.com/forthespada/CS-Books
apache,shardingsphere,20100,https://github.com/apache/shardingsphere
mybatis,mybatis-3,20000,https://github.com/mybatis/mybatis-3
