username,repo_name,stars,repo_url
twbs,bootstrap,172000,https://github.com/twbs/bootstrap
bailicangdu,vue2-elm,41100,https://github.com/bailicangdu/vue2-elm
tabler,tabler,38800,https://github.com/tabler/tabler
IanLunn,Hover,29300,https://github.com/IanLunn/Hover
akveo,ngx-admin,25400,https://github.com/akveo/ngx-admin
chatwoot,chatwoot,22500,https://github.com/chatwoot/chatwoot
palantir,blueprint,20900,https://github.com/palantir/blueprint
primer,css,12600,https://github.com/primer/css
pahen,madge,9300,https://github.com/pahen/madge
thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
akveo,nebular,8100,https://github.com/akveo/nebular
jonsuh,hamburgers,7100,https://github.com/jonsuh/hamburgers
linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
un-pany,v3-admin-vite,5800,https://github.com/un-pany/v3-admin-vite
maximegris,angular-electron,5700,https://github.com/maximegris/angular-electron
fontsource,fontsource,5200,https://github.com/fontsource/fontsource
kazzkiq,balloon.css,5000,https://github.com/kazzkiq/balloon.css
elrumordelaluz,csshake,4900,https://github.com/elrumordelaluz/csshake
diffplug,spotless,4700,https://github.com/diffplug/spotless
