username,repo_name,stars,repo_url
apache,spark,40600,https://github.com/apache/spark
apache,kafka,29500,https://github.com/apache/kafka
apache,flink,24600,https://github.com/apache/flink
lichess-org,lila,16300,https://github.com/lichess-org/lila
heibaiying,BigData-Notes,16200,https://github.com/heibaiying/BigData-Notes
scala,scala,14400,https://github.com/scala/scala
deeplearning4j,deeplearning4j,13800,https://github.com/deeplearning4j/deeplearning4j
playframework,playframework,12600,https://github.com/playframework/playframework
apache,predictionio,12500,https://github.com/apache/predictionio
yahoo,CMAK,11900,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,11200,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,10200,https://github.com/kanaka/mal
lk-geimfari,awesomo,9500,https://github.com/lk-geimfari/awesomo
gitbucket,gitbucket,9200,https://github.com/gitbucket/gitbucket
lauris,awesome-scala,9100,https://github.com/lauris/awesome-scala
twitter,finagle,8800,https://github.com/twitter/finagle
Angel-ML,angel,6800,https://github.com/Angel-ML/angel
gatling,gatling,6600,https://github.com/gatling/gatling
apache,zeppelin,6500,https://github.com/apache/zeppelin
nteract,papermill,6100,https://github.com/nteract/papermill
