username,repo_name,stars,repo_url
trimstray,the-book-of-secret-knowledge,159000,https://github.com/trimstray/the-book-of-secret-knowledge
Hack-with-Github,Awesome-Hacking,89400,https://github.com/Hack-with-Github/Awesome-Hacking
Developer-Y,cs-video-courses,68200,https://github.com/Developer-Y/cs-video-courses
swisskyrepo,PayloadsAllTheThings,63500,https://github.com/swisskyrepo/PayloadsAllTheThings
caddyserver,caddy,61900,https://github.com/caddyserver/caddy
x64dbg,x64dbg,45500,https://github.com/x64dbg/x64dbg
mitmproxy,mitmproxy,38100,https://github.com/mitmproxy/mitmproxy
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
trailofbits,algo,29200,https://github.com/trailofbits/algo
OWASP,CheatSheetSeries,29000,https://github.com/OWASP/CheatSheetSeries
digitalocean,nginxconfig.io,28000,https://github.com/digitalocean/nginxconfig.io
StevenBlack,hosts,27600,https://github.com/StevenBlack/hosts
nginx,nginx,26100,https://github.com/nginx/nginx
hwdsl2,setup-ipsec-vpn,25800,https://github.com/hwdsl2/setup-ipsec-vpn
OpenZeppelin,openzeppelin-contracts,25500,https://github.com/OpenZeppelin/openzeppelin-contracts
aquasecurity,trivy,24800,https://github.com/aquasecurity/trivy
Lissy93,web-check,23900,https://github.com/Lissy93/web-check
authelia,authelia,22900,https://github.com/authelia/authelia
shieldfy,API-Security-Checklist,22700,https://github.com/shieldfy/API-Security-Checklist
GyulyVGC,sniffnet,22600,https://github.com/GyulyVGC/sniffnet
