username,repo_name,stars,repo_url
anuraghazra,github-readme-stats,71700,https://github.com/anuraghazra/github-readme-stats
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
serverless,serverless,46600,https://github.com/serverless/serverless
Kong,kong,40200,https://github.com/Kong/kong
pingcap,tidb,38000,https://github.com/pingcap/tidb
surrealdb,surrealdb,28800,https://github.com/surrealdb/surrealdb
firecracker-microvm,firecracker,27100,https://github.com/firecracker-microvm/firecracker
openfaas,faas,25500,https://github.com/openfaas/faas
dapr,dapr,24400,https://github.com/dapr/dapr
kriasoft,react-starter-kit,22800,https://github.com/kriasoft/react-starter-kit
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
alibaba,ice,18400,https://github.com/alibaba/ice
cube-js,cube,18300,https://github.com/cube-js/cube
Tencent,APIJSON,17400,https://github.com/Tencent/APIJSON
prisma,prisma1,16500,https://github.com/prisma/prisma1
neondatabase,neon,16300,https://github.com/neondatabase/neon
apache,apisix,14800,https://github.com/apache/apisix
schickling,chromeless,13200,https://github.com/schickling/chromeless
donnemartin,awesome-aws,12700,https://github.com/donnemartin/awesome-aws
firebase,functions-samples,12100,https://github.com/firebase/functions-samples
