username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,176000,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,90300,https://github.com/nvbn/thefuck
nvm-sh,nvm,82500,https://github.com/nvm-sh/nvm
ryanoasis,nerd-fonts,56500,https://github.com/ryanoasis/nerd-fonts
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
git,git,53700,https://github.com/git/git
pi-hole,pi-hole,50600,https://github.com/pi-hole/pi-hole
PowerShell,PowerShell,46600,https://github.com/PowerShell/PowerShell
google,zx,43700,https://github.com/google/zx
GitSquared,edex-ui,41700,https://github.com/GitSquared/edex-ui
acmesh-official,acme.sh,41300,https://github.com/acmesh-official/acme.sh
pyenv,pyenv,41000,https://github.com/pyenv/pyenv
koalaman,shellcheck,37000,https://github.com/koalaman/shellcheck
dylanaraps,pure-bash-bible,36800,https://github.com/dylanaraps/pure-bash-bible
nushell,nushell,34000,https://github.com/nushell/nushell
alebcay,awesome-shell,33800,https://github.com/alebcay/awesome-shell
zsh-users,zsh-autosuggestions,32299,https://github.com/zsh-users/zsh-autosuggestions
ibraheemdev,modern-unix,31700,https://github.com/ibraheemdev/modern-unix
herrbischoff,awesome-macos-command-line,29300,https://github.com/herrbischoff/awesome-macos-command-line
fish-shell,fish-shell,28200,https://github.com/fish-shell/fish-shell
