username,repo_name,stars,repo_url
tldraw,tldraw,39000,https://github.com/tldraw/tldraw
gztchan,awesome-design,15900,https://github.com/gztchan/awesome-design
airbnb,react-sketchapp,14900,https://github.com/airbnb/react-sketchapp
casesandberg,react-color,12100,https://github.com/casesandberg/react-color
mjswensen,themer,5600,https://github.com/mjswensen/themer
sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
weui,weui-design,2800,https://github.com/weui/weui-design
weixin,Miaow,2500,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2400,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
LHRUN,paint-board,2300,https://github.com/LHRUN/paint-board
andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
ajstarks,svgo,2200,https://github.com/ajstarks/svgo
DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
Mukosame,Anime2Sketch,2000,https://github.com/Mukosame/Anime2Sketch
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1900,https://github.com/html-sketchapp/html-sketchapp
dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
kactus-io,kactus,1500,https://github.com/kactus-io/kactus
vydd,sketch,1400,https://github.com/vydd/sketch
