username,repo_name,stars,repo_url
zerotier,ZeroTierOne,15000,https://github.com/zerotier/ZeroTierOne
mininet,mininet,5500,https://github.com/mininet/mininet
kubeovn,kube-ovn,2100,https://github.com/kubeovn/kube-ovn
sdnds-tw,awesome-sdn,1500,https://github.com/sdnds-tw/awesome-sdn
feiskyer,sdn-handbook,1400,https://github.com/feiskyer/sdn-handbook
tonydeng,sdn-handbook,1200,https://github.com/tonydeng/sdn-handbook
ansyun,dpdk-ans,1200,https://github.com/ansyun/dpdk-ans
dec0dOS,zero-ui,1000,https://github.com/dec0dOS/zero-ui
ovn-kubernetes,ovn-kubernetes,864,https://github.com/ovn-kubernetes/ovn-kubernetes
faucetsdn,faucet,575,https://github.com/faucetsdn/faucet
FabEdge,fabedge,523,https://github.com/FabEdge/fabedge
KatharaFramework,Kathara,489,https://github.com/KatharaFramework/Kathara
faucetsdn,poseidon,427,https://github.com/faucetsdn/poseidon
stratum,stratum,398,https://github.com/stratum/stratum
bregman-arie,computer-networking,393,https://github.com/bregman-arie/computer-networking
YanHaoChen,Learning-SDN,386,https://github.com/YanHaoChen/Learning-SDN
zyclonite,zerotier-docker,344,https://github.com/zyclonite/zerotier-docker
husarnet,husarnet,329,https://github.com/husarnet/husarnet
CPqD,ofsoftswitch13,303,https://github.com/CPqD/ofsoftswitch13
asavie,xdp,303,https://github.com/asavie/xdp
