username,repo_name,stars,repo_url
wsdjeg,SpaceVim,20400,https://github.com/wsdjeg/SpaceVim
wsdjeg,vim-galore-zh_cn,10700,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,.SpaceVim.d,1400,https://github.com/wsdjeg/.SpaceVim.d
wsdjeg,vim-chat,521,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,483,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,373,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,306,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,200,https://github.com/wsdjeg/GitHub.vim
wsdjeg,JavaUnit.vim,111,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,107,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,97,https://github.com/wsdjeg/job.vim
mrbeardad,SpaceVim,94,https://github.com/mrbeardad/SpaceVim
prontera,ideavimrc,89,https://github.com/prontera/ideavimrc
wsdjeg,vim-markdown,81,https://github.com/wsdjeg/vim-markdown
wsdjeg,gtags.vim,77,https://github.com/wsdjeg/gtags.vim
Tehnix,spaceneovim-layers,44,https://github.com/Tehnix/spaceneovim-layers
ysl2,nvim,36,https://github.com/ysl2/nvim
everettjf,SpaceVimTutorial,16,https://github.com/everettjf/SpaceVimTutorial
lucasprag,vimlociraptor,16,https://github.com/lucasprag/vimlociraptor
techgaun,dotfiles,11,https://github.com/techgaun/dotfiles
