username,repo_name,stars,repo_url
macrozheng,mall,79200,https://github.com/macrozheng/mall
spring-projects,spring-boot,76300,https://github.com/spring-projects/spring-boot
jeecgboot,JeecgBoot,41700,https://github.com/jeecgboot/JeecgBoot
xkcoding,spring-boot-demo,33400,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,30400,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,29300,https://github.com/apolloconfig/apollo
wuyouzhuguli,SpringAll,28600,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,21800,https://github.com/jhipster/generator-jhipster
elunez,eladmin,21500,https://github.com/elunez/eladmin
conductor-oss,conductor,20100,https://github.com/conductor-oss/conductor
linlinjava,litemall,19500,https://github.com/linlinjava/litemall
yudaocode,SpringBoot-Labs,19400,https://github.com/yudaocode/SpringBoot-Labs
forezp,SpringCloudLearning,17900,https://github.com/forezp/SpringCloudLearning
zxwk1998,vue-admin-better,17400,https://github.com/zxwk1998/vue-admin-better
dyc87112,SpringBoot-Learning,15800,https://github.com/dyc87112/SpringBoot-Learning
sqshq,piggymetrics,13400,https://github.com/sqshq/piggymetrics
Netflix,conductor,12800,https://github.com/Netflix/conductor
codecentric,spring-boot-admin,12500,https://github.com/codecentric/spring-boot-admin
macrozheng,mall-swarm,12100,https://github.com/macrozheng/mall-swarm
newbee-ltd,newbee-mall,11200,https://github.com/newbee-ltd/newbee-mall
